Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,BUZ-SMD_3P_L5.0-W5.0-P3.50-TL,1,Buzzer,C781883
"C1, C20, C4, C6",0603,4,1uF,C15849
"C10, C23, C24, C26, C28, C29, C30, C31, C32",0805,9,10uF,C15850
C11,0603,1,4.7pF,C1669
"C12, C13, C14, C16",1206,4,4.7uF,C29823
"C15, C17",0805,2,.1uF,C28233
C18,0805,1,680pF,C1754
"C19, C33, C7, C8",0402,4,0.1uF,C1525
"C2, C9",0805,2,100nF,C49678
"C21, C22, C3",0805,3,22uF,C45783
C25,0805,1,4.7uF,C1779
C27,0603,1,22nF,C21122
C5,0805,1,47uF,C124129
D1,0805,1,KT-0805Y,C2296
D2,D_SOD-123,1,MBR0530,C77336
D3,D_SOD-123F,1,SM4007,C64898
D5,D_SOD-323,1,D_Schottky,C191023
F1,1206,1,SMD1206-500-6V,C2760308 
"FB1, FB2, FB3",0603,3,FerriteBead,C85831
J1,USB-TYPE-C-SMD_TYPE-C-16P-QTWT,1,USB_C_Receptacle_USB2.0_16P,C5187472
"J2, J5",AFC01-S12FCA-00,2,Conn_01x12_Pin,C262661
J3,FPC-SMD_AFC24-S26FIA [DUAL-SIDE],1,Conn_01x26_Pin,C262684
J4,TF-SMD_503398-1892,1,Micro_SD_Card,C428492
L1,L_Chilisin_BMRx00060630,1,10uH,C5189958
L2,L_Ferrocore_DLG-0504,1,1uH,C2929426
L3,L_Wurth_WE-LQSH-3012,1,2.2uH,C19734
Q1,SOT-23,1,MMBT3904,C20526
"R1, R10, R14, R17, R9",0805,5,10K,C17414
"R11, R16",0805,2,2k,C17604
R12,0805,1,1.8M,C17399
R13,0805,1,205k,C218417
"R15, R5",0805,2,470R,C17710
R18,0603,1,10k,C25804
"R19, R6, R7",0603,3,100K,C25803
"R2, R8",0603,2,100R,C22775
R20,0805,1,680k,C17797
R3,0603,1,4.7k,C23162
R4,0603,1,1k,C21190
"RN1, RN2, RN3, RN4",R_Array_Concave_4x0603,4,4x10k,C29718
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW37, SW38, SW39, SW40, SW5, SW6, SW7, SW9",contact_pad_SINGLE,36,~,
SW2,contactPad_cutoutR,1,~,
"SW36, SW41",KEY-TH_3P-L4.5-W4.5-P3.0-EH,2,YTS-C017-2B,
SW4,2X_DIP_DHN-02-V-TR,1,SW_DIP_x02,C224995
SW8,contactPad_cutoutL,1,~,
TH1,0603,1,NTC,C76589
"TP1, TP2",TestPoint_Pad_1.0x1.0mm,2,TestPoint,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U10,UQFN-10_1.4x1.8mm_P0.4mm,1,TS3USB30ERSWR,C73880
U2,SOT-23-6,1,USBLC6-2SC6,C7519
U3,Texas_DRC0010J_ThermalVias,1,TPS63001,C28060
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8563T,C7440
U5,RTW24_2P45X2P45,1,TCA8418RTWR,C138713
U6,JST_PH_2P_P2.00mm,1,C2764211,C2764211
U7,SOT-23-5,1,TPS61040DBV,C7722
U8,SOT-23-6,1,TPS22917DBV,
U9,IC_MP2722GRH-0000-Z,1,MP2722GRH-0000-Z,C20099551
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal_32.768kHz,C5213671
