Designator,Mid X,Mid Y,Rotation,Layer
BZ1,99.9,-85.05,180.0,bottom
C1,66.45,-40.75,180.0,bottom
C10,122.65,-75.0,0.0,bottom
C11,115.5,-76.35,90.0,bottom
C12,116.675,-71.8,180.0,bottom
C13,101.7,-60.6,0.0,bottom
C14,115.7,-59.2,180.0,bottom
C15,102.25,-58.4,0.0,bottom
C16,106.75,-60.6,180.0,bottom
C17,106.2,-58.4,180.0,bottom
C18,137.825,-80.625,0.0,bottom
C19,82.6,-68.45,270.0,bottom
C2,90.6,-41.8,270.0,bottom
C20,79.325,-80.6,0.0,bottom
C21,141.4,-41.3,0.0,bottom
C22,126.0,-56.5,180.0,bottom
C23,70.0,-77.2,90.0,bottom
C24,150.4,-46.1,45.0,bottom
C25,74.2,-70.9,90.0,bottom
C26,69.7,-67.95,180.0,bottom
C27,67.36,-74.2,90.0,bottom
C28,63.5,-71.21,180.0,bottom
C29,63.5,-73.18,180.0,bottom
C3,88.55,-41.8,270.0,bottom
C30,71.75,-65.52,225.0,bottom
C31,78.75,-64.15,45.0,bottom
C32,80.1,-62.7,45.0,bottom
C33,148.23,-82.425,0.0,bottom
C4,139.625,-83.2875,90.0,bottom
C5,131.4,-83.7625,270.0,bottom
C6,85.8,-85.3,45.0,bottom
C7,72.35,-61.65,0.0,bottom
C8,146.5,-66.9,90.0,bottom
C9,136.0,-76.65,180.0,bottom
D1,77.43,-76.94,90.0,bottom
D2,117.4,-77.2,270.0,bottom
D3,100.1,-81.1,180.0,bottom
D5,92.5,-54.1,90.0,bottom
F1,73.6,-80.19,0.0,bottom
FB1,90.57,-45.4,90.0,bottom
FB2,148.88,-67.04,180.0,bottom
FB3,139.55,-76.66,0.0,bottom
J1,76.22,-84.5409,0.0,bottom
J2,136.8,-39.091372,180.0,bottom
J3,109.0,-54.24995,0.0,bottom
J4,148.18495,-55.09015,90.0,bottom
J5,130.0,-54.4,180.0,bottom
L1,118.5,-84.05,90.0,bottom
L2,65.7,-78.7,0.0,bottom
L3,77.5,-67.05,135.0,bottom
Q1,112.4,-76.85,90.0,bottom
R1,66.3,-42.45,180.0,bottom
R10,148.9125,-63.05,180.0,bottom
R11,133.0375,-69.175,0.0,bottom
R12,117.3,-73.9,180.0,bottom
R13,119.95,-74.3,90.0,bottom
R14,66.3,-44.4,180.0,bottom
R15,111.75,-73.1,270.0,bottom
R16,75.6,-74.1,0.0,bottom
R17,104.15,-68.65,270.0,bottom
R18,83.7,-85.3,225.0,bottom
R19,139.3,-86.2,180.0,bottom
R2,71.2,-62.84,0.0,bottom
R20,99.35,-56.0,270.0,bottom
R3,87.0,-81.6,90.0,bottom
R4,129.525,-83.6625,270.0,bottom
R5,133.5,-83.75,270.0,bottom
R6,80.65,-68.65,180.0,bottom
R7,81.1,-66.4,90.0,bottom
R8,64.975,-47.575,180.0,bottom
R9,138.8875,-58.825,180.0,bottom
RN1,149.9,-72.7,180.0,bottom
RN2,143.7,-72.7,0.0,bottom
RN3,138.75,-52.0,270.0,bottom
RN4,66.9,-63.7,270.0,bottom
SW1,70.725071,-55.142929,0.0,top
SW10,79.233,-81.5,0.0,top
SW11,130.233,-72.7,0.0,top
SW12,130.233,-81.5,0.0,top
SW13,87.745071,-55.142929,0.0,top
SW14,87.753,-63.9,0.0,top
SW15,87.753,-72.7,0.0,top
SW16,87.733,-81.5,0.0,top
SW17,138.745071,-55.142929,0.0,top
SW18,138.753,-63.9,0.0,top
SW19,96.245071,-55.142929,0.0,top
SW2,70.733,-63.9,0.0,top
SW20,96.253,-63.9,0.0,top
SW21,96.233,-72.7,0.0,top
SW22,96.233,-81.5,0.0,top
SW23,138.753,-72.7,0.0,top
SW24,138.733,-81.5,0.0,top
SW25,104.745071,-55.142929,0.0,top
SW26,104.753,-63.9,0.0,top
SW27,104.753,-72.7,0.0,top
SW28,104.733,-81.5,0.0,top
SW29,147.225071,-55.142929,0.0,top
SW3,70.753,-72.7,0.0,top
SW30,147.253,-63.9,0.0,top
SW31,113.245071,-55.142929,0.0,top
SW32,113.253,-63.9,0.0,top
SW33,113.253,-72.7,0.0,top
SW34,113.213,-81.5,0.0,top
SW35,147.253,-72.7,0.0,top
SW36,63.60635,-50.8999,90.0,bottom
SW37,121.725071,-55.142929,0.0,top
SW38,121.753,-63.9,0.0,top
SW39,121.733,-72.7,0.0,top
SW4,104.875,-74.815,270.0,bottom
SW40,121.733,-81.5,0.0,top
SW41,147.2249,-85.1788,0.0,bottom
SW5,130.225071,-55.142929,0.0,top
SW6,130.233,-63.9,0.0,top
SW7,79.245071,-55.142929,0.0,top
SW8,79.233,-63.9,0.0,top
SW9,79.253,-72.7,0.0,top
TH1,105.85,-68.65,270.0,bottom
U1,77.75,-46.94,0.0,bottom
U10,84.8,-82.2,180.0,bottom
U2,90.2,-82.3,270.0,bottom
U3,74.7,-64.302944,45.0,bottom
U4,134.45,-72.95,90.0,bottom
U5,143.0874,-68.0126,90.0,bottom
U6,83.5,-74.0,270.0,bottom
U7,120.7,-77.7,0.0,bottom
U8,136.65,-83.85,180.0,bottom
U9,70.4,-71.6,90.0,bottom
Y1,129.55,-74.8,270.0,bottom
