Designator,Mid X,Mid Y,Rotation,Layer
C1,46.66,-107.09,0.0,bottom
C10,83.13,-95.7525,90.0,bottom
C11,86.67,-102.2625,0.0,bottom
C12,93.05,-99.5825,180.0,bottom
C13,98.1375,-100.0325,0.0,bottom
C14,100.02,-105.0625,0.0,bottom
C2,44.51,-104.79,90.0,bottom
C3,55.2,-100.19,270.0,bottom
C4,51.94,-108.08,0.0,bottom
C5,56.52,-101.82,270.0,bottom
C6,52.57,-106.95,0.0,bottom
C7,55.71,-106.32,0.0,bottom
C8,55.23,-102.41,270.0,bottom
C9,55.66,-104.91,180.0,bottom
D1,86.0375,-97.6825,0.0,bottom
D2,86.0,-100.0525,180.0,bottom
D3,86.12,-95.2825,180.0,bottom
J2,49.86,-104.16885,180.0,bottom
J3,122.46,-103.648614,270.0,top
J4,108.98,-103.79,0.0,bottom
L1,93.95,-96.11,90.0,bottom
Q1,89.8575,-97.3025,90.0,bottom
R1,89.13,-102.08,270.0,bottom
R2,91.79,-101.02,225.0,bottom
R3,100.2575,-98.6125,180.0,bottom
RN1,97.5075,-102.4925,90.0,bottom
U1,101.48,-102.3225,180.0,bottom
