Designator,Mid X,Mid Y,Rotation,Layer
BTN1,167.03,-106.26,270.0,top
C10,155.35,-60.485,180.0,top
C11,167.07,-63.735,270.0,top
C13,157.29,-66.815,270.0,top
C15,152.425,-54.2375,90.0,top
C16,155.11,-98.515,0.0,top
C17,151.81,-77.86,90.0,top
C18,160.56,-55.085,270.0,top
C19,163.31,-55.495,45.0,top
C2,147.8725,-102.5425,180.0,top
C20,149.73,-77.85,90.0,top
C22,156.53,-95.69,270.0,top
C25,157.24,-54.09,90.0,top
C26,158.38,-54.07,90.0,top
C29,159.51,-95.56,0.0,top
C3,148.69,-77.85,90.0,top
C30,161.8,-94.305,270.0,top
C31,167.981473,-54.135,90.0,top
C32,160.25,-72.265,90.0,top
C33,170.4,-63.295,0.0,top
C34,149.1,-91.265,270.0,top
C35,150.77,-77.88,90.0,top
C36,150.37,-108.35,270.0,top
C37,151.21,-64.67,270.0,top
C38,150.75,-61.31,180.0,top
C39,167.6,-57.255,0.0,top
C4,170.27,-58.415,0.0,top
C40,167.6,-58.255,0.0,top
C41,165.37,-96.9,270.0,top
C48,164.67,-74.91,0.0,top
C49,153.53,-77.9,270.0,top
C50,153.59,-81.52,90.0,top
C51,159.0,-93.3,0.0,top
C52,168.71,-92.94,270.0,top
C53,170.83,-92.94,270.0,top
C54,151.83,-91.96,180.0,top
C55,161.95,-97.7,0.0,top
C6,155.12,-97.315,0.0,top
C7,154.45,-67.67,180.0,top
C8,150.32,-101.18,180.0,top
D1,148.27,-108.16,0.0,top
D3,150.0075,-53.4625,270.0,top
D4,152.46,-94.705,0.0,top
D5,163.72,-79.695,270.0,top
D6,160.09,-79.65,90.0,top
D7,156.45,-79.695,270.0,top
DNP1,165.67,-56.415,315.0,top
FLASH1,170.155,-98.57,90.0,top
J1,158.49,-106.415,0.0,top
J2,144.96,-104.33,180.0,top
J3,145.0,-77.15,0.0,top
J5,175.24,-77.15,0.0,top
L3,162.06,-54.645,0.0,top
L4,149.645,-82.53,0.0,top
L6,166.38,-55.035,45.0,top
P4,160.05,-89.34,180.0,top
Q1,150.81,-98.6525,90.0,top
Q3,167.25,-81.3025,270.0,top
R1,151.8,-105.255,270.0,top
R12,148.38,-99.68,90.0,top
R14,156.14,-99.675,0.0,top
R17,160.83,-99.685,180.0,top
R18,157.9,-99.27,90.0,top
R19,148.25,-97.7,90.0,top
R2,159.0,-99.26,90.0,top
R20,153.31,-98.28,90.0,top
R21,166.2,-99.57,0.0,top
R22,148.62,-79.47,180.0,top
R23,167.08,-59.47,180.0,top
R24,168.84,-63.83,270.0,top
R25,151.85,-52.64,0.0,top
R26,162.21,-66.505,315.0,top
R27,156.32,-65.485,225.0,top
R28,159.94,-70.095,0.0,top
R29,159.365,-66.805,270.0,top
R3,150.87,-102.52,0.0,top
R30,158.36,-66.815,270.0,top
R33,165.75,-94.12,0.0,top
R34,167.4,-78.37,0.0,top
R35,166.62,-92.89,180.0,top
R36,166.295,-84.12,0.0,top
R37,163.33,-94.285,90.0,top
R38,167.31,-76.77,0.0,top
R4,166.22,-100.93,0.0,top
RESET1,172.975,-106.27,270.0,top
U1,161.64,-61.345,0.0,top
U2,166.02,-70.675,90.0,top
U3,149.3125,-105.215,90.0,top
U4,151.88,-72.22,0.0,top
Y1,152.96,-62.77,270.0,top
Y2,170.27,-60.79,270.0,top
