Designator,Footprint,Quantity,Value,LCSC Part #
+3V3,TestPoint_Pad_D1.0mm,1,+3V3,
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna,
BTN1,SW_Push_1P1T_XKB_TS-1187A,1,BTN,C318884
"C10, C11, C15, C18, C19, C22, C32, C35",0402,8,0.1uF,C1525
"C13, C26, C39",0402,3,1uF,C52923
"C16, C17, C2, C20, C25, C3, C36, C6, C7, C8",0402,10,10uF,C15525
"C29, C30, C34, C41",0603,4,1uF,C15849
"C31, DNP1",0402,2,15pF,C1548
"C33, C37, C38, C4",0402,4,12pF,C1547
C40,0402,1,10nF,C15195
"C48, C49, C50, C51, C52, C53, C54, C55",0805,8,4.7uF,C1779
"D1, D3",0603,2,LED,C2286
"D4, D5, D6, D7",D_SMA,4,SS14,C2480
FLASH1,SW_Push_1P1T_XKB_TS-1187A,1,Flash,C318884
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,C19274016
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J3, J5",PinHeader_1x18_P2.54mm_Vertical,2,Conn_01x18_Pin,
L3,0402,1,2nH,C77103
L4,L_Ferrocore_DLG-0403,1,10uH,C2929419
L6,0402,1,4.7nH,C13595
P4,Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal,1,AFC07-S24FCC-00,C11057
Q1,SOT-23,1,AO3401A,C15127
Q3,SOT-23,1,AO3400A,C20917
R1,0402,1,2K,C4109
"R12, R19",0402,2,200K,C25764
"R14, R17",0402,2,5.1K,C25905
"R18, R2",0402,2,33R,C25105
R20,0402,1,100K,C25741
"R21, R22, R3, R33, R35, R4",0402,6,10K,C25744
"R23, R26, R27, R28, R29, R30",0402,6,0R,C17168
"R24, R25",0402,2,470R,C25117
"R34, R37",0603,2,2.2R,C22939
"R36, R38",0603,2,1R,C22936
RESET1,SW_Push_1P1T_XKB_TS-1187A,1,Reset,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,C2913194
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-23-5,1,MCP73831-2-OT,C7472804
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C32346
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,40MHz(10ppm),C5261125
